component,shares_per_bptix,shares_for_30000,value_per_bptix_usd,pct_of_nav,price_2026_07_08
SPCX (SpaceX),0.600000,18000.0,88.9800,31.401,148.30
TSLA,0.113874,3416.22,44.8731,15.836,394.06
SCHW,0.125172,3755.16,12.7300,4.492,101.70
H,0.067929,2037.87,12.7300,4.492,187.40
MSCI,0.020541,616.23,12.4117,4.380,604.23
SHOP,0.098769,2963.07,11.7752,4.155,119.22
ACGL,0.102953,3088.59,10.5022,3.706,102.01
SPOT,0.020332,609.96,9.8657,3.482,485.22
FDS,0.033389,1001.67,8.2745,2.920,247.82
IT,0.059075,1772.25,7.9562,2.808,134.68
MTN,0.050962,1528.86,7.3197,2.583,143.63
VRSK,0.038592,1157.76,7.3197,2.583,189.67
IDXX,0.013173,395.19,7.3197,2.583,555.67
CHH,0.068801,2064.03,7.3197,2.583,106.39
CSGP,0.249479,7484.37,7.3197,2.583,29.34
GWRE,0.051580,1547.4,7.0015,2.471,135.74
RRR,0.095495,2864.85,6.0467,2.134,63.32
BIRK,0.129486,3884.58,5.7285,2.022,44.24
KNSL,0.015638,469.14,5.4102,1.909,345.96
ONON,0.139967,4199.01,5.0920,1.797,36.38
MORN,0.028926,867.78,4.7737,1.685,165.03
AMZN,0.010451,313.53,2.5460,0.898,243.62
MRNA,0.030186,905.58,2.2277,0.786,73.80
GLPI,0.029667,890.01,1.2730,0.449,42.91
GOOG,0.003549,106.47,1.2730,0.449,358.71
FIG,0.058745,1762.35,1.2730,0.449,21.67
LLY,0.000785,23.55,0.9547,0.337,1215.83
HEI,0.002745,82.35,0.9547,0.337,347.78
HEI-A,0.002536,76.08,0.6365,0.225,251.03
GOOGL,0.000879,26.37,0.3182,0.112,361.92
CASH (borrow),,,-18.8367,-6.647,
