date,price
2026-07-29,54.56
2026-07-30,54.99
2026-07-31,54.99
2026-08-03,55.4
2026-08-04,56.23
2026-08-05,55.5
2026-08-06,55.68
2026-08-07,56.98
2026-08-10,57.27
2026-08-11,57.44
2026-08-12,57.89
2026-08-13,57.68
2026-08-14,57.43
2026-08-17,57.8
2026-08-18,57.43
2026-08-19,58.15
2026-08-20,57.82
2026-08-21,58.25
2026-08-24,57.82
2026-08-25,58.48
2026-08-26,59.55
2026-08-27,59.68
2026-08-28,59.33
2026-08-31,59.45
2026-09-01,59.16
2026-09-02,59.23
2026-09-03,59.83
2026-09-04,59.83
